review_stars,reveiw_buy_site,review_name,review_date,review_title,review_text
평점5,담은 Damun,stng****,23.04.09.,매번 모임이 있을 때마다 시키는 담은! 제 최애 막걸리예요?,매번 모임이 있을 때마다 시키는 담은! 제 최애 막걸리예요?
평점5,담은 Damun,sunh****,23.04.09.,"여전히, 맛있어요!호불호 없이 다들 좋아하는 맛입니다!!","여전히, 맛있어요!
호불호 없이 다들 좋아하는 맛입니다!!"
평점5,담은 Damun,swcr****,23.04.07.,탄산이 적어서 부드럽습니다. 목구녕 빡빡 때리는 청량감은 없지만 부드럽고 고급스러운 맛이랄까요? 받자마자 한병 해치웠는데 아주 만족스럽습니다. 번창하세요~,탄산이 적어서 부드럽습니다. 목구녕 빡빡 때리는 청량감은 없지만 부드럽고 고급스러운 맛이랄까요? 받자마자 한병 해치웠는데 아주 만족스럽습니다. 번창하세요~
평점5,담은 Damun,0103****,23.04.07.,부드러워서 목넘김이 좋아요 크림이랑 우유먹는것 같아요 맛있어요 !포장상태도 굿 !,"부드러워서 목넘김이 좋아요 크림이랑 우유먹는것 같아요 맛있어요 !
포장상태도 굿 !"
평점5,담은 Damun,1988****,23.04.07.,빠른배송 그리고 정직한 맛,빠른배송 그리고 정직한 맛
평점5,담은 Damun,goak****,23.04.06.,역시 담은은 나이스하다,역시 담은은 나이스하다
평점5,담은 Damun,naxi****,23.04.04.,맛있어서 두 번째 주문했어요,맛있어서 두 번째 주문했어요
평점5,담은 Damun,gmdd****,23.04.04.,비싼만큼 맛있어요.부드러워서 목넘김도 좋고 탄산은없고 일단 맛있어요,비싼만큼 맛있어요.부드러워서 목넘김도 좋고 탄산은없고 일단 맛있어요
평점5,담은 Damun,adva****,23.04.03.,좀더 걸쭉하다고 느껴지는 막걸리. 배부르게 잘 먹었숨당,좀더 걸쭉하다고 느껴지는 막걸리. 배부르게 잘 먹었숨당
평점5,담은 Damun,ekha****,23.04.03.,온 가족이 좋아하는 막걸리입니다,온 가족이 좋아하는 막걸리입니다
평점5,담은 Damun,ange****,23.04.03.,우유처럼 맑아요 넘 맛있어요,우유처럼 맑아요 넘 맛있어요
평점5,담은 Damun,baha****,23.04.02.,신선하고 맛있습니다.,신선하고 맛있습니다.
평점5,담은 Damun,swjm****,23.04.01.,진짜 넘넘 좋아요 재구매의사 100입니다,진짜 넘넘 좋아요 재구매의사 100입니다
